date,yield
3/31/2010,4.45
4/1/2010,4.47
4/5/2010,4.58
4/6/2010,4.55
4/7/2010,4.45
4/8/2010,4.48
4/9/2010,4.47
4/12/2010,4.42
4/13/2010,4.38
4/14/2010,4.39
4/15/2010,4.36
4/16/2010,4.3
4/19/2010,4.35
4/20/2010,4.34
4/21/2010,4.29
4/22/2010,4.33
4/23/2010,4.38
4/26/2010,4.38
4/27/2010,4.28
4/28/2010,4.36
4/29/2010,4.3
4/30/2010,4.27
5/3/2010,4.33
5/4/2010,4.28
5/5/2010,4.25
5/6/2010,4.23
5/7/2010,4.36
5/10/2010,4.36
5/11/2010,4.38
5/12/2010,4.39
5/13/2010,4.37
5/14/2010,4.29
5/17/2010,4.31
5/18/2010,4.25
5/19/2010,4.3
5/20/2010,4.31
5/21/2010,4.29
5/24/2010,4.31
5/25/2010,4.35
5/26/2010,4.39
5/27/2010,4.47
5/28/2010,4.4
5/31/2010,4.42
6/1/2010,4.43
6/2/2010,4.47
6/3/2010,4.49
6/4/2010,4.35
6/7/2010,4.35
6/8/2010,4.36
6/9/2010,4.38
6/10/2010,4.5
6/11/2010,4.41
6/14/2010,4.43
6/15/2010,4.45
6/16/2010,4.42
6/17/2010,4.33
6/18/2010,4.35
6/21/2010,4.34
6/22/2010,4.28
6/23/2010,4.24
6/24/2010,4.26
6/25/2010,4.24
6/28/2010,4.17
6/29/2010,4.14
6/30/2010,4.16
7/1/2010,4.15
7/2/2010,4.18
7/5/2010,4.17
7/6/2010,4.11
7/7/2010,4.14
7/8/2010,4.15
7/9/2010,4.17
7/12/2010,4.15
7/13/2010,4.17
7/14/2010,4.08
7/15/2010,4.02
7/16/2010,3.97
7/19/2010,3.99
7/20/2010,3.97
7/21/2010,3.92
7/22/2010,3.95
7/23/2010,3.98
7/26/2010,3.96
7/27/2010,3.97
7/28/2010,3.92
7/29/2010,3.9
7/30/2010,3.83
7/31/2010,3.86
8/2/2010,3.89
8/3/2010,3.83
8/4/2010,3.87
8/5/2010,3.84
8/6/2010,3.78
8/9/2010,3.78
8/10/2010,3.77
8/11/2010,3.72
8/12/2010,3.75
8/13/2010,3.72
8/16/2010,3.63
8/17/2010,3.67
8/18/2010,3.66
8/19/2010,3.62
8/20/2010,3.65
8/23/2010,3.64
8/24/2010,3.57
8/25/2010,3.62
8/26/2010,3.59
8/27/2010,3.71
8/30/2010,3.62
8/31/2010,3.62
9/1/2010,3.69
9/2/2010,3.71
9/3/2010,3.75
9/6/2010,3.74
9/7/2010,3.66
9/8/2010,3.7
9/9/2010,3.78
9/10/2010,3.79
9/13/2010,3.72
9/14/2010,3.65
9/15/2010,3.69
9/16/2010,3.7
9/17/2010,3.68
9/20/2010,3.65
9/21/2010,3.56
9/22/2010,3.55
9/23/2010,3.55
9/24/2010,3.59
9/27/2010,3.52
9/28/2010,3.48
9/29/2010,3.51
9/30/2010,3.52
10/1/2010,3.52
10/4/2010,3.48
10/5/2010,3.47
10/6/2010,3.41
10/7/2010,3.39
10/8/2010,3.38
10/11/2010,3.38
10/12/2010,3.41
10/13/2010,3.41
10/14/2010,3.48
10/15/2010,3.52
10/18/2010,3.46
10/19/2010,3.44
10/20/2010,3.44
10/21/2010,3.47
10/22/2010,3.48
10/25/2010,3.46
10/26/2010,3.52
10/27/2010,3.56
10/28/2010,3.51
10/29/2010,3.46
10/31/2010,3.48
11/1/2010,3.49
11/2/2010,3.46
11/3/2010,3.47
11/4/2010,3.38
11/5/2010,3.42
11/8/2010,3.44
11/9/2010,3.52
11/10/2010,3.5
11/11/2010,3.5
11/12/2010,3.6
11/15/2010,3.71
11/16/2010,3.67
11/17/2010,3.68
11/18/2010,3.69
11/19/2010,3.69
11/22/2010,3.63
11/23/2010,3.61
11/24/2010,3.74
11/25/2010,3.74
11/26/2010,3.7
11/29/2010,3.69
11/30/2010,3.7
12/1/2010,3.83
12/2/2010,3.85
12/3/2010,3.83
12/6/2010,3.75
12/7/2010,3.92
12/8/2010,3.98
12/9/2010,3.97
12/10/2010,4
12/13/2010,3.96
12/14/2010,4.08
12/15/2010,4.12
12/16/2010,4.09
12/17/2010,3.97
12/20/2010,3.98
12/21/2010,3.97
12/22/2010,3.99
12/23/2010,4.03
12/24/2010,4.03
12/27/2010,4
12/28/2010,4.08
12/29/2010,3.96
12/30/2010,3.98
12/31/2010,3.93
1/3/2011,3.94
1/4/2011,3.94
1/5/2011,4.05
1/6/2011,3.99
1/7/2011,3.91
1/10/2011,3.89
1/11/2011,3.91
1/12/2011,3.92
1/13/2011,3.87
1/14/2011,3.89
1/17/2011,3.88
1/18/2011,3.9
1/19/2011,3.87
1/20/2011,3.95
1/21/2011,3.92
1/24/2011,3.9
1/25/2011,3.84
1/26/2011,3.9
1/27/2011,3.86
1/28/2011,3.82
1/31/2011,3.88
2/1/2011,3.93
2/2/2011,3.97
2/3/2011,4.01
2/4/2011,4.07
2/7/2011,4.05
2/8/2011,4.11
2/9/2011,4.05
2/10/2011,4.1
2/11/2011,4.06
2/14/2011,4.03
2/15/2011,4.02
2/16/2011,4.02
2/17/2011,3.97
2/18/2011,3.97
2/21/2011,3.96
2/22/2011,3.87
2/23/2011,3.9
2/24/2011,3.88
2/25/2011,3.86
2/28/2011,3.87
3/1/2011,3.86
3/2/2011,3.9
3/3/2011,3.99
3/4/2011,3.91
3/7/2011,3.91
3/8/2011,3.94
3/9/2011,3.88
3/10/2011,3.83
3/11/2011,3.83
3/14/2011,3.78
3/15/2011,3.8
3/16/2011,3.72
3/17/2011,3.76
3/18/2011,3.77
3/21/2011,3.81
3/22/2011,3.81
3/23/2011,3.83
3/24/2011,3.86
3/25/2011,3.9
3/28/2011,3.9
3/29/2011,3.94
3/30/2011,3.91
3/31/2011,3.94
4/1/2011,3.95
4/4/2011,3.92
4/5/2011,3.96
4/6/2011,3.99
4/7/2011,3.97
4/8/2011,3.98
4/11/2011,3.97
4/12/2011,3.91
4/13/2011,3.88
4/14/2011,3.9
4/15/2011,3.83
4/18/2011,3.79
4/19/2011,3.78
4/20/2011,3.82
4/21/2011,3.82
4/25/2011,3.78
4/26/2011,3.73
4/27/2011,3.77
4/28/2011,3.71
4/29/2011,3.69
4/30/2011,3.72
5/2/2011,3.72
5/3/2011,3.69
5/4/2011,3.68
5/5/2011,3.64
5/6/2011,3.63
5/9/2011,3.61
5/10/2011,3.65
5/11/2011,3.62
5/12/2011,3.65
5/13/2011,3.63
5/16/2011,3.59
5/17/2011,3.58
5/18/2011,3.63
5/19/2011,3.62
5/20/2011,3.6
5/23/2011,3.59
5/24/2011,3.59
5/25/2011,3.61
5/26/2011,3.55
5/27/2011,3.55
5/30/2011,3.54
5/31/2011,3.56
6/1/2011,3.51
6/2/2011,3.58
6/3/2011,3.56
6/6/2011,3.56
6/7/2011,3.56
6/8/2011,3.53
6/9/2011,3.58
6/10/2011,3.56
6/13/2011,3.58
6/14/2011,3.66
6/15/2011,3.57
6/16/2011,3.55
6/17/2011,3.57
6/20/2011,3.58
6/21/2011,3.59
6/22/2011,3.6
6/23/2011,3.55
6/24/2011,3.53
6/27/2011,3.59
6/28/2011,3.69
6/29/2011,3.7
6/30/2011,3.72
7/1/2011,3.74
7/4/2011,3.73
7/5/2011,3.68
7/6/2011,3.65
7/7/2011,3.7
7/8/2011,3.58
7/11/2011,3.53
7/12/2011,3.53
7/13/2011,3.52
7/14/2011,3.55
7/15/2011,3.53
7/18/2011,3.55
7/19/2011,3.54
7/20/2011,3.57
7/21/2011,3.62
7/22/2011,3.58
7/25/2011,3.6
7/26/2011,3.56
7/27/2011,3.58
7/28/2011,3.55
7/29/2011,3.44
7/31/2011,3.46
8/1/2011,3.43
8/2/2011,3.35
8/3/2011,3.35
8/4/2011,3.29
8/5/2011,3.38
8/8/2011,3.4
8/9/2011,3.34
8/10/2011,3.37
8/11/2011,3.55
8/12/2011,3.49
8/15/2011,3.54
8/16/2011,3.49
8/17/2011,3.46
8/18/2011,3.46
8/19/2011,3.48
8/22/2011,3.5
8/23/2011,3.6
8/24/2011,3.72
8/25/2011,3.64
8/26/2011,3.63
8/29/2011,3.67
8/30/2011,3.59
8/31/2011,3.56
9/1/2011,3.5
9/2/2011,3.45
9/5/2011,3.45
9/6/2011,3.47
9/7/2011,3.5
9/8/2011,3.48
9/9/2011,3.46
9/12/2011,3.52
9/13/2011,3.57
9/14/2011,3.57
9/15/2011,3.61
9/16/2011,3.59
9/19/2011,3.52
9/20/2011,3.53
9/21/2011,3.53
9/22/2011,3.55
9/23/2011,3.67
9/26/2011,3.74
9/27/2011,3.79
9/28/2011,3.8
9/29/2011,3.77
9/30/2011,3.77
10/3/2011,3.74
10/4/2011,3.85
10/5/2011,3.93
10/6/2011,3.96
10/7/2011,3.96
10/10/2011,3.96
10/11/2011,3.97
10/12/2011,3.96
10/13/2011,3.89
10/14/2011,3.9
