Date,MKT,SMB,HML,RF,IGBonds,Gbond,Tbill,DEF,TERM
201004,2,4.92,3.12,0.01,4.39,3.85,0.15,0.54,3.7
201005,-7.89,-0.09,-2.32,0.01,4.34,3.42,0.15,0.92,3.27
201006,-5.56,-2.15,-4.27,0.01,4.34,3.2,0.08,1.14,3.12
201007,6.93,0.24,0.04,0.01,4.03,3.01,0.16,1.02,2.85
201008,-4.77,-3.03,-1.51,0.01,3.71,2.7,0.15,1.01,2.55
201009,9.54,3.84,-2.94,0.01,3.65,2.65,0.12,1,2.53
201010,3.88,1.01,-2.23,0.01,3.46,2.54,0.14,0.92,2.4
201011,0.6,3.69,-0.58,0.01,3.59,2.76,0.13,0.83,2.63
201012,6.82,0.85,3.47,0.01,3.97,3.29,0.08,0.68,3.21
201101,1.99,-2.4,0.68,0.01,3.91,3.39,0.14,0.52,3.25
201102,3.49,1.62,1.73,0.01,3.99,3.58,0.11,0.41,3.47
201103,0.45,2.68,-1.16,0.01,3.86,3.41,0.06,0.45,3.35
201104,2.9,-0.34,-2.15,0,3.85,3.46,0.03,0.39,3.43
201105,-1.27,-0.68,-2.12,0,3.62,3.17,0.02,0.45,3.15
201106,-1.75,-0.14,-0.26,0,3.59,3,0.02,0.59,2.98
201107,-2.36,-1.44,-1.18,0,3.58,3,0.04,0.58,2.96
201108,-5.99,-3.3,-1.58,0.01,3.49,2.3,0.02,1.19,2.28
201109,-7.59,-3.72,-0.98,0,3.58,1.98,0,1.6,1.98
201110,11.35,3.58,-0.96,0,3.8,2.15,0.01,1.65,2.14
201111,-0.28,-0.24,-0.18,0,3.67,2.01,0.01,1.66,2
201112,0.74,-0.55,1.57,0,3.8,1.98,0,1.82,1.98
201201,5.05,2.51,-2.14,0,3.47,1.97,0.02,1.5,1.95
201202,4.42,-1.65,0.01,0,3.2,1.97,0.06,1.23,1.91
201203,3.11,-0.27,-0.06,0,3.21,2.17,0.06,1.04,2.11
201204,-0.85,-0.63,-0.2,0,3.13,2.05,0.07,1.08,1.98
201205,-6.19,-0.11,0.08,0.01,3.12,1.8,0.07,1.32,1.73
201206,3.89,0.81,0.54,0,3.1,1.62,0.05,1.48,1.57
201207,0.79,-2.6,0.01,0,2.8,1.53,0.07,1.27,1.46
201208,2.55,0.69,0.6,0.01,2.71,1.68,0.09,1.03,1.59
201209,2.73,0.5,1.56,0.01,2.57,1.72,0.07,0.85,1.65
201210,-1.76,-1.07,4.16,0.01,2.44,1.75,0.11,0.69,1.64
201211,0.78,0.68,-1.12,0.01,2.4,1.65,0.13,0.75,1.52
201212,1.18,1.61,3.26,0.01,2.42,1.72,0.04,0.7,1.68
201301,5.57,0.5,1.34,0,2.43,1.91,0.05,0.52,1.86
201302,1.29,-0.4,0.28,0,2.48,1.98,0.08,0.5,1.9
201303,4.03,0.88,-0.07,0,2.47,1.96,0.08,0.51,1.88
201304,1.56,-2.4,0.35,0,2.37,1.76,0.05,0.61,1.71
201305,2.8,2,1.33,0,2.44,1.93,0.02,0.51,1.91
201306,-1.2,1.18,-0.4,0,2.86,2.3,0.03,0.56,2.27
201307,5.65,1.88,0.71,0,2.99,2.58,0.02,0.41,2.56
201308,-2.71,0.24,-2.48,0,3.03,2.74,0.04,0.29,2.7
201309,3.77,2.86,-1.57,0,3.08,2.81,0.02,0.27,2.79
201310,4.18,-1.55,1.36,0,2.86,2.62,0.11,0.24,2.51
201311,3.12,1.33,-0.38,0,2.84,2.72,0.05,0.12,2.67
201312,2.81,-0.43,-0.2,0,2.88,2.9,0.02,-0.02,2.88
201401,-3.32,0.83,-1.88,0,2.82,2.86,0.02,-0.04,2.84
201402,4.65,0.32,-0.49,0,2.74,2.71,0.05,0.03,2.66
201403,0.43,-1.81,4.6,0,2.76,2.72,0.05,0.04,2.67
